stat,vyznamenani,jmeno,vyznamnost,zebricek,narozeni,umrti,rok,rank,retez,skupina,inmemoriam,pohlavi,prezident
cr,rad-bileho-lva,Jaroslav Krátký,nan,nan,1911,1945,1998.0,4.0,False,vojenská,True,muz,Havel
cr,rad-bileho-lva,Bruno Kreisky,31.375381,6113.0,1911,1990,2000.0,1.0,False,občanská,True,muz,Havel
cr,rad-bileho-lva,Ludvík Krejčí,20.644863,512313.0,1890.0,1972.0,2017.0,1.0,False,vojenská,True,muz,Zeman
cr,rad-bileho-lva,Rudolf Severin Krzák,17.960215,868324.5,1914.0,2004.0,2004.0,3.0,False,vojenská,True,muz,Klaus
cr,rad-bileho-lva,Karel Kutlvašr,21.398306,499605.0,1895,1961,2017.0,1.0,False,vojenská,True,muz,Zeman
cr,rad-bileho-lva,Karel Kuttelwascher,24.026825,175785.0 ,1916.0 ,1959.0,2016.0,1.0,False,vojenská,True,muz,Zeman
cr,rad-bileho-lva,Marie Ljalková-Lastovecká,23.347412,478653.5,1920.0,2011.0,2010.0,2.0,False,vojenská,False,zena,Klaus
cr,rad-bileho-lva,Jindřich Macháček,nan,nan,nan,nan,1997.0,4.0,False,vojenská,False,muz,Havel
cr,rad-bileho-lva,Joachim kardinál Meisner,29.580667,16922.0 ,1933.0,2017.0,1998.0,3.0,False,občanská,False,muz,Havel
cr,rad-bileho-lva,François Mitterrand,35.902332,470.0,1916.0 ,1996.0,1999.0,1.0,False,občanská,True,muz,Havel
cr,rad-bileho-lva,Klaus Naumann,24.602411,136327.0,1939.0,nan,1999.0,3.0,False,vojenská,False,muz,Havel
cr,rad-bileho-lva,Vladimír Nedvěd,18.147558,863368.0,1917,2012,1996.0,3.0,False,vojenská,False,muz,Havel
cr,rad-bileho-lva,Bedřich Neumann,nan,nan,1981,1964,1997.0,3.0,False,vojenská,True,muz,Havel
cr,rad-bileho-lva,Josef Ocelka,nan,nan,1909,1942,2019.0,1.0,False,vojenská,True,muz,Zeman
cr,rad-bileho-lva,Olof Joachim Palme,33.751942,1616.0,1927.0,1986.0,2000.0,1.0,False,občanská,True,muz,Havel
cr,rad-bileho-lva,George S. Patton,35.114647 ,1277.0,1885.0,1945.0,1998.0,4.0,False,vojenská,True,muz,Havel
cr,rad-bileho-lva,Rudolf Pernický,19.767851,584814.5,1915.0,2005.0,2005.0,1.0,False,vojenská,False,muz,Klaus
cr,rad-bileho-lva,František Peřina,23.402201,212461.0,1911.0,2006.0,1997.0,4.0,False,vojenská,False,muz,Havel
cr,rad-bileho-lva,Felix Peřka,nan,nan,1924,2005,1995.0,3.0,False,vojenská,False,muz,Havel
cr,rad-bileho-lva,Anton Petrák,nan,nan,1912,2009,2003.0,1.0,False,vojenská,False,muz,Klaus
cr,rad-bileho-lva,Karel Pezl,18.83499,770032.0,1927,nan,2017.0,1.0,False,vojenská,False,muz,Zeman
cr,rad-bileho-lva,Jan Plovajko,nan,nan,1922,2020,2010.0,3.0,False,vojenská,False,muz,Klaus
cr,rad-bileho-lva,Karel J. Procházka,nan,nan,1905,1999,1997.0,4.0,False,vojenská,False,muz,Havel
cr,rad-bileho-lva,Radovan Procházka,nan,nan,1927,2020,1997.0,4.0,False,vojenská,False,muz,Havel
cr,rad-bileho-lva,Pravomil L. Raichl,nan,nan,1921,2002,2000.0,5.0,False,vojenská,False,muz,Havel
cr,rad-bileho-lva,Ronald Reagan,39.705551,20,1911.0,2004.0,1999.0,1.0,False,občanská,False,muz,Havel
cr,rad-bileho-lva,Josef Robotka,nan,nan,1906,1952,1997.0,3.0,False,vojenská,False,muz,Havel
cr,rad-bileho-lva,Chanan Rozen,nan,nan,1918,2013,1998.0,4.0,False,občanská,False,muz,Havel
cr,rad-bileho-lva,John M. D. Shalikashvili,27.206291,70053.0 ,1936.0,2011.0,1998.0,3.0,False,vojenská,False,muz,Havel
cr,rad-bileho-lva,Jaroslav Selner,nan,nan,1906,1973,2019.0,1.0,False,vojenská,True,muz,Zeman
cr,rad-bileho-lva,Gerhard Fritz Kurt Schröder,34.489357,1469.0,1944,nan,2017.0,1.0,False,občanská,False,muz,Zeman
cr,rad-bileho-lva,Rudolf Schuster,27.826611,42180.0,1934,nan,2019.0,1.0,False,občanská,False,muz,Zeman
cr,rad-bileho-lva,Oldřich Skácel,nan,nan,1908,2002,1995.0,3.0,False,vojenská,False,muz,Havel
cr,rad-bileho-lva,František Slunečko,nan,nan,1886,1963,1998.0,3.0,False,vojenská,True,muz,Havel
cr,rad-bileho-lva,Javier Solana,31.050797,7739.0,1942.0,nan,1998.0,2.0,False,občanská,False,muz,Havel
cr,rad-bileho-lva,Vilém Stanovský,nan,nan,1896,1972.0,2000.0,3.0,False,vojenská,True,muz,Havel
cr,rad-bileho-lva,Oto Stehlík,nan,nan,1924,nan,2002.0,4.0,False,občanská,False,muz,Havel
cr,rad-bileho-lva,Alois Šiška,nan,nan,1914,2003,2003.0,3.0,False,vojenská,True,muz,Klaus
cr,rad-bileho-lva,Antonín Špaček,nan,nan,1917,2007,2006.0,1.0,False,vojenská,False,muz,Klaus
cr,rad-bileho-lva,Margaret Thatcherová,38.070229,144,1925.0,2013.0,1999.0,1.0,False,občanská,False,zena,Havel
cr,rad-bileho-lva,Ferdinand Trauttmansdorff,22.525919,312004.0,1950,nan,2016.0,4.0,False,občanská,False,muz,Zeman
cr,rad-bileho-lva,Jan Velík,nan,nan,1921,2016,2011.0,2.0,False,vojenská,False,muz,Klaus
cr,rad-bileho-lva,Guido Venturoni,19.899698,900010.0 ,1934.0,nan,2002.0,3.0,False,občanská,False,muz,Havel
cr,rad-bileho-lva,Sergej Vojcechovský,nan,nan,1883,1951,1997.0,3.0,False,vojenská,True,muz,Havel
cr,rad-bileho-lva,Franz Vranitzký,29.095203,21551.0,1937.0,nan,2014.0,1.0,False,občanská,False,muz,Zeman
cr,rad-bileho-lva,Veleslav Wahl,nan,nan,1922,1950,1995.0,2.0,False,občanská,True,muz,Havel
